"id","basis","follow_up","protein","garrison","optional","day"
"94","3","1","11","13",NULL,"1"
"95","3","1","16","10",NULL,"2"
"96","3","1","11","12",NULL,"3"
"97","3","1","2","20",NULL,"4"
"98","3","1","1","12",NULL,"5"
"99","3","1","11",NULL,"2","6"
"100","3","1","3","20",NULL,"7"
"101","3","1","9","8",NULL,"1"
"102","3","1","15","21",NULL,"2"
"103","3","1","14","15",NULL,"3"
"104","3","1","1","11",NULL,"4"
"105","3","1","15","2",NULL,"5"
"106","3","1","4","10",NULL,"6"
"107","3","1","1","22",NULL,"7"
"108","3","1","11","5",NULL,"1"
"109","3","1","9","21",NULL,"2"
"110","3","1","15","11",NULL,"3"
"111","3","1","16","23",NULL,"5"
"112","3","1","11","18",NULL,"6"
"113","3","1","16",NULL,NULL,"7"
"114","3","1",NULL,"16",NULL,"1"
"115","3","1","2","2",NULL,"2"
"116","3","1","9","19",NULL,"3"
"117","3","1","2","21",NULL,"4"
"118","3","1","2","18",NULL,"5"
"119","9",NULL,NULL,NULL,NULL,"6"
"120","3","1","9","19",NULL,NULL
"121","3","1","1",NULL,"1","1"
"122","3","1","2",NULL,"1","2"
"123","3","1","2","11",NULL,"4"
"124","3","1","2","10",NULL,"5"
"125","3","1","4",NULL,NULL,NULL
"126","3","1","1","8",NULL,"1"
"127","3","1",NULL,"4",NULL,"1"
"128","3","1","2","15",NULL,"2"
"129","3","1","8","11",NULL,"3"
"130","3","1","2","10",NULL,"4"
"131","3","1","2","6",NULL,"5"
"132","3","1","14","6",NULL,"7"
"133","11",NULL,NULL,NULL,NULL,"1"
